ALERT_ID,ALERT_SOURCE,CATEGORY,CONFIDENCE,FAILED_ATTEMPTS,FIRST_SEEN,GEO_COUNTRY,IP_COUNT,KILL_CHAIN_PHASE,LAST_SEEN,ML_ANOMALY_SCORE,RISK_SCORE,SOURCE_IP,SUCCESSFUL_LOGINS,THREAT_LEVEL,THREAT_TYPE,TOOL_VERSION,USERNAME
5befd7277ece,ELITE SOC ANALYZER,AUTHENTICATION,88,7,2026-01-22T21:22:47.718290,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.729039,0.3,51,192.168.0.52,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
ee4cc32df719,ELITE SOC ANALYZER,AUTHENTICATION,88,10,2026-01-22T21:22:47.718478,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.728805,0.3,69,192.168.0.60,0,HIGH,SSH_BRUTE_FORCE,6.0-COGNITIVE,
660d98b8c0e3,ELITE SOC ANALYZER,AUTHENTICATION,88,5,2026-01-22T21:22:47.718530,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.728844,0.3,39,192.168.0.53,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
e3d7af319a7e,ELITE SOC ANALYZER,AUTHENTICATION,88,6,2026-01-22T21:22:47.718550,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.728501,0.3,45,192.168.0.73,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
2645e155597c,ELITE SOC ANALYZER,AUTHENTICATION,88,10,2026-01-22T21:22:47.718575,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.728984,0.3,69,192.168.0.35,0,HIGH,SSH_BRUTE_FORCE,6.0-COGNITIVE,
94bc93288379,ELITE SOC ANALYZER,AUTHENTICATION,88,7,2026-01-22T21:22:47.718592,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.727777,0.3,51,192.168.0.11,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
8b20f96edd27,ELITE SOC ANALYZER,AUTHENTICATION,88,7,2026-01-22T21:22:47.718607,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.729249,0.3,51,192.168.0.22,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
ca6b09f06004,ELITE SOC ANALYZER,AUTHENTICATION,88,9,2026-01-22T21:22:47.718621,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.727869,0.3,63,192.168.0.17,0,HIGH,SSH_BRUTE_FORCE,6.0-COGNITIVE,
309ebece88ac,ELITE SOC ANALYZER,AUTHENTICATION,88,5,2026-01-22T21:22:47.718634,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.729180,0.3,39,192.168.0.34,0,MEDIUM,SSH_BRUTE_FORCE,6.0-COGNITIVE,
4c0ead1c2dcf,ELITE SOC ANALYZER,AUTHENTICATION,88,10,2026-01-22T21:22:47.718651,UNKNOWN,,CREDENTIAL ACCESS,2026-01-22T21:22:47.728623,0.3,69,192.168.0.62,0,HIGH,SSH_BRUTE_FORCE,6.0-COGNITIVE,
